watermark_method,project,language,seed_group,rng_seed,method_config,response_points,evaluated_points,parameter_runs,Pass,BE,TE,RE,Excluded,point_pooled_pass_rate,pass_strength_mean,pass_strength_median,pass_strength_q1,pass_strength_q3,pass_strength_iqr,run_balanced_pass_rate,run_balanced_mean_pass_strength,runs_with_pass
ewd,flappy_bird,python,,1716196616,flappy_bird_game_ewd_T=0.7_rngS=1716196616_gamma=0.5_hashKey=83782121_prefixLen=1,43,43,1,0,0,43,0,0,0.0,,,,,,0.0,,0
ewd,snake,cpp,,3908348467,snake_game_ewd_T=0.7_rngS=3908348467_gamma=0.5_hashKey=15485863_prefixLen=1,35,35,1,0,35,0,0,0,0.0,,,,,,0.0,,0
ewd,snake,cpp,,3908348467,snake_game_ewd_T=0.7_rngS=3908348467_gamma=0.5_hashKey=15485917_prefixLen=1,42,42,1,0,42,0,0,0,0.0,,,,,,0.0,,0
ewd,snake,cpp,,3908348467,snake_game_ewd_T=0.7_rngS=3908348467_gamma=0.5_hashKey=23873851_prefixLen=1,35,35,1,2,33,0,0,0,0.057143,2.05,2.05,1.925,2.175,0.25,0.057143,2.05,1
ewd,snake,cpp,,3908348467,snake_game_ewd_T=0.7_rngS=3908348467_gamma=0.5_hashKey=36728353_prefixLen=1,34,34,1,0,34,0,0,0,0.0,,,,,,0.0,,0
ewd,snake,cpp,,3908348467,snake_game_ewd_T=0.7_rngS=3908348467_gamma=0.5_hashKey=47646761_prefixLen=1,36,36,1,7,29,0,0,0,0.194444,1.928571,1.9,1.75,2.3,0.55,0.194444,1.928571,1
ewd,snake,cpp,,3908348467,snake_game_ewd_T=0.7_rngS=3908348467_gamma=0.5_hashKey=83782121_prefixLen=1,39,39,1,0,39,0,0,0,0.0,,,,,,0.0,,0
ewd,snake,java,,384552130,snake_game_ewd_T=0.7_rngS=384552130_gamma=0.5_hashKey=15485863_prefixLen=1,38,38,1,1,36,1,0,0,0.026316,4.0,4.0,4.0,4.0,0.0,0.026316,4.0,1
ewd,snake,java,,384552130,snake_game_ewd_T=0.7_rngS=384552130_gamma=0.5_hashKey=15485917_prefixLen=1,38,38,1,0,38,0,0,0,0.0,,,,,,0.0,,0
ewd,snake,java,,384552130,snake_game_ewd_T=0.7_rngS=384552130_gamma=0.5_hashKey=23873851_prefixLen=1,36,36,1,1,34,0,1,0,0.027778,3.9,3.9,3.9,3.9,0.0,0.027778,3.9,1
